t,x,y,z,Ox,Oy,Oz,q0,q1,q2,q3,vx, vy, vz, T_trans, T_rot, U_gr, U_em, E, q_norm
4.940000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.579928457e+01,6.872755046e-01,0.000000000e+00,0.000000000e+00,-7.263968480e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.992347861e-06,0.000000000e+00,-4.992347602e-06,2.587550010e-13,1.000000000e+00
4.950000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.580521132e+01,6.929934027e-01,0.000000000e+00,0.000000000e+00,-7.209439256e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.996094100e-06,0.000000000e+00,-4.996093841e-06,2.591382961e-13,1.000000000e+00
4.960000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.580916403e+01,6.986698052e-01,0.000000000e+00,0.000000000e+00,-7.154442699e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.998593346e-06,0.000000000e+00,-4.998593087e-06,2.593919960e-13,1.000000000e+00
4.970000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.581114121e+01,7.043036158e-01,0.000000000e+00,0.000000000e+00,-7.098988779e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.999843725e-06,0.000000000e+00,-4.999843465e-06,2.595157154e-13,1.000000000e+00
4.980000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.581114211e+01,7.098937619e-01,0.000000000e+00,0.000000000e+00,-7.043087723e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.999844299e-06,0.000000000e+00,-4.999844039e-06,2.595092652e-13,1.000000000e+00
4.990000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.580916675e+01,7.154391955e-01,0.000000000e+00,0.000000000e+00,-6.986750014e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.998595068e-06,0.000000000e+00,-4.998594809e-06,2.593726515e-13,1.000000000e+00
5.000000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.580521586e+01,7.209388937e-01,0.000000000e+00,0.000000000e+00,-6.929986375e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.996096970e-06,0.000000000e+00,-4.996096710e-06,2.591060707e-13,1.000000000e+00
5.010000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.579929093e+01,7.263918595e-01,0.000000000e+00,0.000000000e+00,-6.872807770e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.992351875e-06,0.000000000e+00,-4.992351616e-06,2.587099151e-13,1.000000000e+00
5.020000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.579139416e+01,7.317971225e-01,0.000000000e+00,0.000000000e+00,-6.815225392e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.987362590e-06,0.000000000e+00,-4.987362331e-06,2.581847801e-13,1.000000000e+00
5.030000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.578152852e+01,7.371537396e-01,0.000000000e+00,0.000000000e+00,-6.757250655e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.981132848e-06,0.000000000e+00,-4.981132590e-06,2.575314424e-13,1.000000000e+00
5.040000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.576969769e+01,7.424607954e-01,0.000000000e+00,0.000000000e+00,-6.698895187e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.973667306e-06,0.000000000e+00,-4.973667049e-06,2.567508728e-13,1.000000000e+00
5.050000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.575590609e+01,7.477174029e-01,0.000000000e+00,0.000000000e+00,-6.640170822e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.964971537e-06,0.000000000e+00,-4.964971282e-06,2.558442324e-13,1.000000000e+00
5.060000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.574015887e+01,7.529227040e-01,0.000000000e+00,0.000000000e+00,-6.581089590e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.955052024e-06,0.000000000e+00,-4.955051769e-06,2.548128580e-13,1.000000000e+00
5.070000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.572246187e+01,7.580758701e-01,0.000000000e+00,0.000000000e+00,-6.521663708e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.943916143e-06,0.000000000e+00,-4.943915890e-06,2.536582750e-13,1.000000000e+00
5.080000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.570282166e+01,7.631761026e-01,0.000000000e+00,0.000000000e+00,-6.461905573e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.931572163e-06,0.000000000e+00,-4.931571911e-06,2.523821801e-13,1.000000000e+00
5.090000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.568124553e+01,7.682226331e-01,0.000000000e+00,0.000000000e+00,-6.401827754e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.918029225e-06,0.000000000e+00,-4.918028974e-06,2.509864510e-13,1.000000000e+00
5.100000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.565774143e+01,7.732147242e-01,0.000000000e+00,0.000000000e+00,-6.341442977e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.903297332e-06,0.000000000e+00,-4.903297082e-06,2.494731293e-13,1.000000000e+00
5.110000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.563231802e+01,7.781516693e-01,0.000000000e+00,0.000000000e+00,-6.280764122e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.887387334e-06,0.000000000e+00,-4.887387086e-06,2.478444153e-13,1.000000000e+00
5.120000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.560498464e+01,7.830327937e-01,0.000000000e+00,0.000000000e+00,-6.219804209e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.870310912e-06,0.000000000e+00,-4.870310666e-06,2.461026725e-13,1.000000000e+00
5.130000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.557575129e+01,7.878574542e-01,0.000000000e+00,0.000000000e+00,-6.158576392e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.852080562e-06,0.000000000e+00,-4.852080318e-06,2.442504071e-13,1.000000000e+00
5.140000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.554462862e+01,7.926250399e-01,0.000000000e+00,0.000000000e+00,-6.097093949e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.832709576e-06,0.000000000e+00,-4.832709334e-06,2.422902831e-13,1.000000000e+00
5.150000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.551162793e+01,7.973349719e-01,0.000000000e+00,0.000000000e+00,-6.035370267e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.812212022e-06,0.000000000e+00,-4.812211782e-06,2.402250965e-13,1.000000000e+00
5.160000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.547676117e+01,8.019867041e-01,0.000000000e+00,0.000000000e+00,-5.973418841e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.790602726e-06,0.000000000e+00,-4.790602488e-06,2.380577653e-13,1.000000000e+00
5.170000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.544004088e+01,8.065797229e-01,0.000000000e+00,0.000000000e+00,-5.911253256e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.767897249e-06,0.000000000e+00,-4.767897013e-06,2.357913432e-13,1.000000000e+00
5.180000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.540148023e+01,8.111135476e-01,0.000000000e+00,0.000000000e+00,-5.848887184e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.744111867e-06,0.000000000e+00,-4.744111633e-06,2.334290013e-13,1.000000000e+00
5.190000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.536109297e+01,8.155877302e-01,0.000000000e+00,0.000000000e+00,-5.786334369e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.719263545e-06,0.000000000e+00,-4.719263314e-06,2.309740135e-13,1.000000000e+00
5.200000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.531889343e+01,8.200018559e-01,0.000000000e+00,0.000000000e+00,-5.723608620e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.693369919e-06,0.000000000e+00,-4.693369691e-06,2.284297595e-13,1.000000000e+00
5.210000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.527489651e+01,8.243555426e-01,0.000000000e+00,0.000000000e+00,-5.660723800e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.666449265e-06,0.000000000e+00,-4.666449040e-06,2.257997112e-13,1.000000000e+00
5.220000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.522911764e+01,8.286484412e-01,0.000000000e+00,0.000000000e+00,-5.597693819e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.638520480e-06,0.000000000e+00,-4.638520257e-06,2.230874185e-13,1.000000000e+00
5.230000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.518157280e+01,8.328802356e-01,0.000000000e+00,0.000000000e+00,-5.534532619e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.609603052e-06,0.000000000e+00,-4.609602832e-06,2.202965178e-13,1.000000000e+00
5.240000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.513227847e+01,8.370506424e-01,0.000000000e+00,0.000000000e+00,-5.471254171e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.579717036e-06,0.000000000e+00,-4.579716819e-06,2.174307148e-13,1.000000000e+00
5.250000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.508125165e+01,8.411594109e-01,0.000000000e+00,0.000000000e+00,-5.407872461e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.548883028e-06,0.000000000e+00,-4.548882813e-06,2.144937712e-13,1.000000000e+00
5.260000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.502850980e+01,8.452063229e-01,0.000000000e+00,0.000000000e+00,-5.344401480e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.517122134e-06,0.000000000e+00,-4.517121923e-06,2.114894978e-13,1.000000000e+00
5.270000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.497407084e+01,8.491911925e-01,0.000000000e+00,0.000000000e+00,-5.280855220e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.484455950e-06,0.000000000e+00,-4.484455742e-06,2.084217596e-13,1.000000000e+00
5.280000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.491795315e+01,8.531138662e-01,0.000000000e+00,0.000000000e+00,-5.217247658e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.450906526e-06,0.000000000e+00,-4.450906321e-06,2.052944454e-13,1.000000000e+00
5.290000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.486017554e+01,8.569742221e-01,0.000000000e+00,0.000000000e+00,-5.153592753e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.416496343e-06,0.000000000e+00,-4.416496141e-06,2.021114751e-13,1.000000000e+00
5.300000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.480075721e+01,8.607721700e-01,0.000000000e+00,0.000000000e+00,-5.089904433e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.381248283e-06,0.000000000e+00,-4.381248084e-06,1.988767986e-13,1.000000000e+00
5.310000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.473971777e+01,8.645076510e-01,0.000000000e+00,0.000000000e+00,-5.026196588e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.345185601e-06,0.000000000e+00,-4.345185406e-06,1.955943596e-13,1.000000000e+00
5.320000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.467707719e+01,8.681806371e-01,0.000000000e+00,0.000000000e+00,-4.962483062e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.308331899e-06,0.000000000e+00,-4.308331706e-06,1.922681171e-13,1.000000000e+00
5.330000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.461285580e+01,8.717911309e-01,0.000000000e+00,0.000000000e+00,-4.898777644e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.270711091e-06,0.000000000e+00,-4.270710902e-06,1.889020200e-13,1.000000000e+00
5.340000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.454707425e+01,8.753391655e-01,0.000000000e+00,0.000000000e+00,-4.835094057e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.232347382e-06,0.000000000e+00,-4.232347197e-06,1.855000088e-13,1.000000000e+00
5.350000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.447975351e+01,8.788248034e-01,0.000000000e+00,0.000000000e+00,-4.771445955e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.193265235e-06,0.000000000e+00,-4.193265053e-06,1.820659966e-13,1.000000000e+00
5.360000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.441091486e+01,8.822481365e-01,0.000000000e+00,0.000000000e+00,-4.707846913e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.153489345e-06,0.000000000e+00,-4.153489166e-06,1.786038816e-13,1.000000000e+00
5.370000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.434057985e+01,8.856092859e-01,0.000000000e+00,0.000000000e+00,-4.644310419e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.113044609e-06,0.000000000e+00,-4.113044434e-06,1.751175160e-13,1.000000000e+00
5.380000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.426877027e+01,8.889084009e-01,0.000000000e+00,0.000000000e+00,-4.580849865e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.071956100e-06,0.000000000e+00,-4.071955928e-06,1.716107233e-13,1.000000000e+00
5.390000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.419550816e+01,8.921456585e-01,0.000000000e+00,0.000000000e+00,-4.517478545e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.030249039e-06,0.000000000e+00,-4.030248871e-06,1.680872679e-13,1.000000000e+00
5.400000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.412081579e+01,8.953212634e-01,0.000000000e+00,0.000000000e+00,-4.454209642e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,3.987948769e-06,0.000000000e+00,-3.987948604e-06,1.645508697e-13,1.000000000e+00
5.410000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.404471560e+01,8.984354469e-01,0.000000000e+00,0.000000000e+00,-4.391056226e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,3.945080724e-06,0.000000000e+00,-3.945080563e-06,1.610051873e-13,1.000000000e+00
5.420000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.396723023e+01,9.014884666e-01,0.000000000e+00,0.000000000e+00,-4.328031244e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,3.901670408e-06,0.000000000e+00,-3.901670250e-06,1.574538102e-13,1.000000000e+00
